bin,count,P_active,P_passive
"(-0.001, 1.0]",2540,0.1984251968503937,0.8015748031496063
"(1.0, 2.0]",2535,0.8927021696252465,0.10729783037475345
"(2.0, 3.0]",3434,0.9336051252184042,0.06639487478159581
"(3.0, 4.0]",3411,0.8988566402814424,0.1011433597185576
"(4.0, 5.0]",2700,0.8662962962962963,0.1337037037037037
"(5.0, 6.0]",1535,0.8247557003257329,0.1752442996742671
"(6.0, 13.0]",1135,0.8273127753303965,0.1726872246696035
