lemma,count
be,1839
have,744
know,423
do,399
get,365
make,353
say,323
go,321
take,292
think,253
see,229
use,227
want,199
come,153
find,151
give,140
mean,128
call,125
put,120
let,108
need,107
tell,106
look,104
feel,101
start,96
show,92
like,91
try,91
write,80
leave,79
provide,71
create,68
ask,68
become,63
base,60
work,59
build,57
bring,56
help,55
keep,53
add,53
play,52
begin,51
consider,50
thank,49
believe,48
hold,48
allow,47
require,47
seem,46
