bin,count,P_active,P_passive
"(0.999, 3.0]",2149,0.7128897161470451,0.28711028385295484
"(3.0, 7.0]",1564,0.7455242966751918,0.2544757033248082
"(7.0, 13.0]",1687,0.8180201541197392,0.1819798458802608
"(13.0, 21.0]",1663,0.8003607937462417,0.19963920625375828
"(21.0, 34.0]",1644,0.8710462287104623,0.12895377128953772
"(34.0, 61.0]",1716,0.8974358974358975,0.10256410256410256
"(61.0, 82.0]",1762,0.9040862656072645,0.09591373439273553
"(82.0, 108.0]",1877,0.9163558870538092,0.08364411294619073
"(108.0, 177.0]",3228,0.5851920693928129,0.4148079306071871
