bin,count,P_active,P_passive
"(-0.001, 1.0]",11069,0.8380160809467884,0.16198391905321166
"(1.0, 2.0]",3004,0.7320239680426098,0.26797603195739017
"(2.0, 3.0]",1617,0.6944959802102659,0.30550401978973407
"(3.0, 11.0]",1600,0.615625,0.384375
