bin,count,P_active,P_passive
"(-0.001, 0.167]",3642,0.6545853926414058,0.3454146073585942
"(0.167, 0.231]",1572,0.8365139949109415,0.16348600508905853
"(0.231, 0.271]",1748,0.8592677345537757,0.14073226544622425
"(0.271, 0.318]",1820,0.8598901098901099,0.1401098901098901
"(0.318, 0.394]",1615,0.8823529411764706,0.11764705882352941
"(0.394, 0.501]",3197,0.5677197372536753,0.4322802627463247
"(0.501, 0.508]",744,1.0,0.0
"(0.508, 0.6]",1252,0.9345047923322684,0.06549520766773163
"(0.6, 1.0]",1700,0.9782352941176471,0.02176470588235294
