topic_0,topic_1,topic_2,topic_3,topic_4
0.0021511356,0.00260816,0.0024117234,0.98935723,0.0034717058
0.0021511351,0.0026081593,0.002411723,0.98935723,0.0034717051
0.003836814,0.004651973,0.0043016043,0.9810174,0.0061922134
0.003836811,0.0046519698,0.004301601,0.9810175,0.0061922087
0.0024204343,0.0029346733,0.0027136449,0.9880249,0.003906326
0.002420434,0.0029346729,0.0027136446,0.9880249,0.0039063254
0.0024204343,0.0029346733,0.0027136449,0.9880249,0.003906326
0.0038398649,0.0046556722,0.0043050246,0.98100233,0.0061971373
0.0038398649,0.0046556722,0.0043050246,0.98100233,0.0061971373
0.0016204151,0.001964684,0.26051357,0.73328614,0.0026151792
0.0016204149,0.0019646839,0.26045823,0.7333415,0.002615179
0.001620415,0.001964684,0.26051247,0.7332873,0.002615179
0.0016201481,0.0019643602,0.0018164122,0.9919843,0.0026147482
0.0016201481,0.0019643602,0.0018164122,0.9919843,0.0026147482
0.0013909404,0.0016864558,0.0015594384,0.99311835,0.002244831
0.0013909404,0.0016864558,0.0015594384,0.99311835,0.002244831
0.0013909404,0.0016864558,0.0015594384,0.99311835,0.002244831
0.0013909404,0.0016864558,0.0015594384,0.99311835,0.002244831
0.0013909403,0.0016864557,0.0015594383,0.99311835,0.0022448308
0.0013909404,0.0016864558,0.0015594384,0.99311835,0.002244831
0.0013909406,0.0016864561,0.0015594386,0.9931183,0.0022448315
0.0013909404,0.0016864558,0.0015594384,0.99311835,0.002244831
0.0010848279,0.0013153076,0.0012162437,0.9946328,0.001750798
0.0010848276,0.0013153071,0.0012162431,0.99463284,0.0017507973
0.0010848276,0.0013153071,0.0012162431,0.99463284,0.0017507973
0.0010848276,0.0013153071,0.0012162431,0.99463284,0.0017507973
0.0010848276,0.0013153071,0.0012162431,0.99463284,0.0017507973
0.0010848278,0.0013153073,0.0012162434,0.9946328,0.0017507976
0.22392358,0.0016869232,0.0015598707,0.77058417,0.0022454534
0.22383514,0.001686923,0.0015598704,0.7706726,0.002245453
0.223886,0.0016869231,0.0015598706,0.7706218,0.0022454532
0.0024168063,0.0029302745,0.0027095773,0.98804283,0.0039004707
0.002416806,0.0029302742,0.002709577,0.98804283,0.0039004702
0.002416806,0.0029302742,0.002709577,0.98804283,0.0039004702
0.0008492249,0.0010296489,0.00095209974,0.99579847,0.0013705594
0.0008492249,0.0010296489,0.00095209974,0.99579847,0.0013705594
0.0008492249,0.0010296489,0.00095209974,0.99579847,0.0013705594
0.0008492249,0.0010296489,0.00095209974,0.99579847,0.0013705594
0.0008492249,0.0010296489,0.00095209974,0.99579847,0.0013705594
0.0011469852,0.0013906705,0.0012859305,0.9943253,0.0018511132
0.0011469852,0.0013906705,0.0012859305,0.9943253,0.0018511132
0.0011469852,0.0013906705,0.0012859305,0.9943253,0.0018511132
0.0024160196,0.0029293206,0.0027086954,0.9880467,0.0038992008
0.00241602,0.0029293213,0.0027086958,0.9880467,0.0038992018
0.0024160198,0.0029293208,0.0027086956,0.9880467,0.0038992013
0.0013905447,0.001685976,0.0015589948,0.99312025,0.0022441924
0.0013905445,0.0016859758,0.0015589945,0.99312025,0.0022441922
0.0013905446,0.0016859759,0.0015589946,0.99312025,0.0022441924
0.0013905446,0.0016859759,0.0015589946,0.99312025,0.0022441924
0.0013905446,0.0016859759,0.0015589946,0.99312025,0.0022441924
0.0013905446,0.0016859759,0.0015589946,0.99312025,0.0022441924
0.0013905446,0.0016859759,0.0015589946,0.99312025,0.0022441924
0.0013905446,0.0016859759,0.0015589946,0.99312025,0.0022441924
0.0013905446,0.0016859759,0.0015589946,0.99312025,0.0022441924
0.00475715,0.005767841,0.005333429,0.9764641,0.0076775383
0.00475715,0.005767841,0.005333429,0.9764641,0.0076775383
0.004757149,0.0057678404,0.0053334287,0.9764641,0.0076775374
0.003204473,0.0038852866,0.0035926618,0.98414594,0.0051716813
0.003204473,0.0038852866,0.0035926618,0.98414594,0.0051716813
0.003204473,0.0038852866,0.0035926618,0.98414594,0.0051716813
0.0017671249,0.0021425635,0.0019811937,0.99125713,0.002851953
0.0017671249,0.0021425635,0.0019811937,0.99125713,0.002851953
0.0017671249,0.0021425635,0.0019811937,0.99125713,0.002851953
0.0017671249,0.0021425635,0.0019811937,0.99125713,0.002851953
0.001298922,0.0015748875,0.001456273,0.9935736,0.0020963233
0.0012989221,0.0015748875,0.0014562731,0.9935736,0.0020963233
0.0012989222,0.0015748878,0.0014562733,0.99357355,0.0020963235
0.0010271207,0.0012453401,0.0011515458,0.9949183,0.0016576647
0.0010271206,0.00124534,0.0011515457,0.9949183,0.0016576644
0.0010271207,0.0012453401,0.0011515458,0.9949183,0.0016576647
0.0010271207,0.0012453401,0.0011515458,0.9949183,0.0016576647
0.0010271207,0.0012453401,0.0011515458,0.9949183,0.0016576647
0.0010271206,0.00124534,0.0011515457,0.9949183,0.0016576644
0.0016193928,0.0019634445,0.0018155654,0.99198806,0.002613529
0.0016193925,0.0019634443,0.0018155652,0.99198806,0.0026135289
0.0016193928,0.0019634445,0.0018155654,0.99198806,0.002613529
0.0019389979,0.002350952,0.0021738873,0.9904068,0.0031293381
0.0019389979,0.002350952,0.0021738873,0.9904068,0.0031293381
0.001938998,0.0023509522,0.0021738876,0.9904068,0.0031293384
0.0012991582,0.0015751738,0.0014565377,0.9935724,0.0020967044
0.0012991581,0.0015751737,0.0014565376,0.9935724,0.0020967042
0.0012991582,0.0015751738,0.0014565377,0.9935724,0.0020967044
0.0012991583,0.0015751739,0.0014565379,0.9935724,0.0020967044
0.0012991584,0.0015751742,0.0014565381,0.9935724,0.0020967047
0.0012991582,0.0015751738,0.0014565377,0.9935724,0.0020967044
0.0010270533,0.0012452583,0.0011514702,0.99491864,0.0016575557
0.0010270533,0.0012452584,0.0011514704,0.99491864,0.0016575559
0.0010270533,0.0012452583,0.0011514702,0.99491864,0.0016575557
0.0010270533,0.0012452583,0.0011514702,0.99491864,0.0016575557
0.0012983042,0.0015741384,0.0014555804,0.99357665,0.002095326
0.0012983044,0.0015741386,0.0014555806,0.99357665,0.0020953263
0.0012983042,0.0015741384,0.0014555804,0.99357665,0.002095326
0.0012983043,0.0015741385,0.0014555805,0.99357665,0.0020953263
0.0012983044,0.0015741386,0.0014555806,0.99357665,0.0020953263
0.0012983044,0.0015741386,0.0014555806,0.99357665,0.0020953263
0.0012983042,0.0015741384,0.0014555804,0.99357665,0.002095326
0.0012983042,0.0015741384,0.0014555804,0.99357665,0.002095326
0.0021517358,0.0026088879,0.0024123965,0.98935425,0.0034726749
0.0021517358,0.0026088879,0.0024123965,0.98935425,0.0034726749
0.0021517358,0.0026088879,0.0024123965,0.98935425,0.0034726749
0.002151736,0.002608888,0.0024123967,0.98935425,0.003472675
0.0019396624,0.0023517578,0.0021746324,0.99040353,0.0031304106
0.0019396624,0.0023517578,0.0021746324,0.99040353,0.0031304106
0.0019396624,0.0023517578,0.0021746324,0.99040353,0.0031304106
0.0013905284,0.0016859563,0.0015589765,0.9931204,0.0022441663
0.0013905283,0.0016859561,0.0015589765,0.9931204,0.002244166
0.0013905286,0.0016859565,0.0015589767,0.9931204,0.0022441666
0.0013905285,0.0016859564,0.0015589766,0.9931204,0.0022441663
0.16948798,0.0019645072,0.0018165479,0.82411605,0.0026149435
0.16954954,0.0019645074,0.0018165482,0.8240545,0.0026149438
0.16953778,0.0019645072,0.001816548,0.8240663,0.0026149438
0.16946827,0.001964507,0.0018165478,0.8241357,0.0026149433
0.0032068864,0.0038882128,0.0035953675,0.984134,0.0051755765
0.002416504,0.002929908,0.0027092386,0.9880443,0.003899983
0.0024165038,0.0029299078,0.0027092383,0.9880443,0.0038999824
0.0017655806,0.002140691,0.0019794626,0.99126476,0.002849461
0.0021523656,0.0026096513,0.0024131024,0.98935115,0.003473691
0.0021523656,0.0026096513,0.0024131024,0.98935115,0.003473691
0.0011476567,0.0013914848,0.0012866835,0.99432194,0.0018521969
0.0011476568,0.0013914849,0.0012866836,0.99432194,0.0018521971
0.0011476567,0.0013914848,0.0012866835,0.99432194,0.0018521969
0.0011476567,0.0013914848,0.0012866835,0.99432194,0.0018521969
0.0011476567,0.0013914848,0.0012866835,0.99432194,0.0018521969
0.0011476567,0.0013914848,0.0012866835,0.99432194,0.0018521969
0.0011476568,0.0013914849,0.0012866836,0.99432194,0.0018521971
0.000783198,0.00094959413,0.0008780743,0.9961251,0.001263999
0.0007831978,0.0009495939,0.00087807415,0.9961251,0.0012639987
0.00078319776,0.00094959384,0.0008780741,0.9961251,0.0012639986
0.00078319776,0.00094959384,0.0008780741,0.9961251,0.0012639986
0.0007831978,0.0009495939,0.00087807415,0.9961251,0.0012639987
0.00078319776,0.00094959384,0.0008780741,0.9961251,0.0012639986
0.0012180652,0.001476852,0.0013656211,0.9939736,0.0019658287
0.0012180653,0.0014768521,0.0013656212,0.9939736,0.001965829
0.0012180653,0.0014768521,0.0013656212,0.9939736,0.001965829
0.0012180653,0.0014768521,0.0013656212,0.9939736,0.001965829
0.0012180653,0.0014768521,0.0013656212,0.9939736,0.001965829
0.0012180653,0.0014768521,0.0013656212,0.9939736,0.001965829
0.0012180653,0.0014768521,0.0013656212,0.9939736,0.001965829
0.0013901354,0.0016854798,0.001558536,0.9931223,0.0022435319
0.0013901353,0.0016854797,0.0015585358,0.9931223,0.0022435319
0.0009766095,0.0011840974,0.0010949158,0.9951682,0.001576145
0.0009766098,0.0011840976,0.0010949159,0.9951682,0.0015761452
0.0009766096,0.0011840975,0.0010949158,0.9951682,0.0015761451
0.00097661,0.0011840978,0.0010949161,0.9951682,0.0015761455
0.0009766099,0.0011840977,0.001094916,0.9951682,0.0015761454
0.0009766099,0.0011840977,0.001094916,0.9951682,0.0015761454
0.0009766098,0.0011840976,0.0010949159,0.9951682,0.0015761452
0.0009766095,0.0011840974,0.0010949158,0.9951682,0.001576145
0.002416125,0.0029294484,0.0027088136,0.9880462,0.003899371
0.002416125,0.0029294484,0.0027088136,0.9880462,0.003899371
0.002416125,0.0029294484,0.0027088136,0.9880462,0.003899371
0.0024161253,0.0029294488,0.0027088139,0.9880462,0.0038993715
0.001766118,0.0021413425,0.001980065,0.99126214,0.002850328
0.002754765,0.003340035,0.0030884764,0.98637086,0.0044459
0.0014958102,0.001813606,0.0016770122,0.9925995,0.00241408
0.0014958101,0.0018136059,0.0016770121,0.9925995,0.0024140798
0.0014958102,0.001813606,0.0016770122,0.9925995,0.00241408
0.0014958102,0.001813606,0.0016770122,0.9925995,0.00241408
0.0014958102,0.001813606,0.0016770122,0.9925995,0.00241408
0.0013911983,0.0016867685,0.0015597276,0.99311703,0.0022452474
0.0013911983,0.0016867685,0.0015597276,0.99311703,0.0022452474
0.0013911981,0.0016867683,0.0015597274,0.99311703,0.0022452471
0.0013911983,0.0016867685,0.0015597276,0.99311703,0.0022452474
0.0016217205,0.001966267,0.0018181752,0.99197656,0.0026172858
0.0016217205,0.001966267,0.0018181752,0.99197656,0.0026172858
0.0017665969,0.0021419234,0.0019806018,0.99125975,0.002851101
0.0017665969,0.0021419234,0.0019806018,0.99125975,0.002851101
0.0032053867,0.0038863944,0.003593686,0.9841414,0.005173156
0.0032053867,0.0038863944,0.003593686,0.9841414,0.005173156
0.00176477,0.0021397083,0.0019785536,0.9912688,0.0028481528
0.00176477,0.0021397083,0.0019785536,0.9912688,0.0028481528
0.00176477,0.0021397083,0.0019785536,0.9912688,0.0028481528
0.00176477,0.0021397083,0.0019785536,0.9912688,0.0028481528
0.0010832885,0.001313441,0.0012145176,0.9946404,0.0017483133
0.0010832883,0.0013134409,0.0012145175,0.9946404,0.0017483131
0.0010832883,0.0013134409,0.0012145175,0.9946404,0.0017483131
0.0012183074,0.0014771457,0.0013658927,0.9939724,0.0019662196
0.0012183074,0.0014771457,0.0013658927,0.9939724,0.0019662196
0.0012183074,0.0014771457,0.0013658927,0.9939724,0.0019662196
0.0012183074,0.0014771457,0.0013658927,0.9939724,0.0019662196
0.0011475458,0.0013913502,0.001286559,0.99432254,0.0018520178
0.0011475458,0.0013913502,0.001286559,0.99432254,0.0018520178
0.0011475458,0.0013913502,0.001286559,0.99432254,0.0018520178
0.0011475458,0.0013913502,0.001286559,0.99432254,0.0018520178
0.0016213409,0.0019658066,0.0018177496,0.9919784,0.0026166732
0.0016213409,0.0019658066,0.0018177496,0.9919784,0.0026166732
0.0016213408,0.0019658064,0.0018177495,0.9919784,0.002616673
0.0032054347,0.0038864524,0.0035937398,0.9841412,0.0051732333
0.0032054354,0.0038864533,0.0035937408,0.9841412,0.0051732347
0.003205435,0.0038864529,0.00359374,0.9841412,0.005173234
0.001938773,0.0023506794,0.0021736352,0.9904079,0.0031289752
0.0019387731,0.0023506796,0.0021736354,0.9904079,0.0031289754
0.0019387731,0.0023506796,0.0021736354,0.9904079,0.0031289754
0.001938773,0.0023506794,0.0021736352,0.9904079,0.0031289752
0.0019387731,0.0023506796,0.0021736354,0.9904079,0.0031289754
0.0012181944,0.0014770086,0.0013657659,0.99397296,0.0019660373
0.0012181944,0.0014770086,0.0013657659,0.99397296,0.0019660373
0.0012181944,0.0014770086,0.0013657659,0.99397296,0.0019660373
0.0012181944,0.0014770086,0.0013657659,0.99397296,0.0019660373
0.0012181944,0.0014770086,0.0013657659,0.99397296,0.0019660373
0.0027568142,0.0033425197,0.003090774,0.9863607,0.004449208
0.0027568142,0.0033425197,0.003090774,0.9863607,0.004449208
0.0027568142,0.0033425197,0.003090774,0.9863607,0.004449208
0.0027568142,0.0033425197,0.003090774,0.9863607,0.004449208
0.0016195143,0.001963592,0.0018157017,0.99198747,0.0026137254
0.0016195143,0.001963592,0.0018157017,0.99198747,0.0026137254
0.0016195143,0.001963592,0.0018157017,0.99198747,0.0026137254
0.0009756332,0.0011829135,0.001093821,0.99517304,0.0015745691
0.00097563304,0.0011829133,0.0010938209,0.99517304,0.0015745688
0.0009756332,0.0011829135,0.001093821,0.99517304,0.0015745691
0.0009756332,0.0011829135,0.001093821,0.99517304,0.0015745691
0.0047577573,0.005768578,0.0053341105,0.9764611,0.007678519
0.0032087837,0.0038905134,0.0035974947,0.9841246,0.0051786387
0.0032087837,0.0038905134,0.0035974947,0.9841246,0.0051786387
0.0032087837,0.0038905134,0.0035974947,0.9841246,0.0051786387
0.0032073779,0.003888809,0.0035959186,0.9841316,0.00517637
0.0032073779,0.003888809,0.0035959186,0.9841316,0.00517637
0.0032073779,0.003888809,0.0035959186,0.9841316,0.00517637
0.0019410583,0.0023534503,0.0021761975,0.9903966,0.0031326634
0.0019410583,0.0023534503,0.0021761975,0.9903966,0.0031326634
