feature,type,target_mean,other_mean,difference,ratio,effect_size,target_prop,other_prop
lemma_freq_per_million,numeric,8033.2270011418705,12345.920603748473,-4312.693602606602,-0.34932134597537795,0.09089605696378564,,
lemma_freq,numeric,198.25652173913045,277.8832546171686,-79.62673287803813,-0.286547431538143,0.02218798053496717,,
subj_linear_distance,numeric,2.390345649582837,6.009469696969697,-3.6191240473868604,-0.6022368411561501,0.11129632727031066,,
has_nsubj=True,categorical,,,0.7260869565217392,0.7260869565217392,0.7672803620167437,0.7260869565217392,0.0
subject_coref_count,numeric,0.23782608695652174,1.3305655714116433,-1.0927394844551217,-0.8212594011535038,0.06818678464089431,,
n_subj,numeric,0.7260869565217392,0.0,0.7260869565217392,0.7260869565217392,0.5887191539365445,,
obj_linear_distance,numeric,2.6126965637740245,3.653245126266511,-1.0405485624924866,-0.2848285637836211,0.08657673032896687,,
n_objs,numeric,0.6030434782608696,0.006872852233676976,0.5961706260271926,86.74282482484843,0.44180608714384434,,
n_obj,numeric,0.6030434782608696,0.006872852233676976,0.5961706260271926,86.74282482484843,0.44180608714384434,,
n_subj_nodes,numeric,0.7343478260869565,0.15401565294917588,0.5803321731377806,3.768007742385026,0.4590547548344797,,
order_subject_before_verb=True,categorical,,,0.5471066675793179,0.5471066675793179,0.4810337302328821,0.6991304347826087,0.15202376720329083
order_object_before_verb=False,categorical,,,0.48020978955784754,0.48020978955784754,0.42929354307064205,0.6621739130434783,0.18196412348563076
order_type=SVO,categorical,,,0.3197771266551309,0.3197771266551309,0.48184929710862934,0.39565217391304347,0.07587504725791253
clause_type=main,categorical,,,0.31195191800270705,0.31195191800270705,0.4231860115914136,0.4017391304347826,0.08978721243207557
participial=False,categorical,,,0.23484732596882696,0.23484732596882696,0.5540298273166347,0.8395652173913043,0.6047178914224773
xpos=VB,categorical,,,0.17732332410132687,0.17732332410132687,0.5627446066459737,0.3030434782608696,0.1257201541595427
has_aux_pass=False,categorical,,,0.16838487972508598,0.16838487972508598,0.5434477767262065,1.0,0.831615120274914
order_type=SV,categorical,,,0.16743811206816817,0.16743811206816817,0.48184929710862934,0.22869565217391305,0.06125754010574487
lemma_transitivity,numeric,0.48824649664774256,0.26664581832881573,0.22160067831892682,0.8310675172957409,0.10227246890402905,,
verbform=Inf,categorical,,,0.16235654632183175,0.16235654632183175,0.4098333802034987,0.27869565217391307,0.11633910585208132
has_nsubj_pass=False,categorical,,,0.1512027491408935,0.1512027491408935,0.5133413272739294,1.0,0.8487972508591065
person,numeric,2.510204081632653,2.730592094082458,-0.220388012449805,-0.08071070480257483,0.02002418950969701,,
n_advmod,numeric,0.30130434782608695,0.11564504934572478,0.18565929848036217,1.6054236594666933,0.06624324393771742,,
n_subj_pass,numeric,0.0,0.15120274914089346,-0.15120274914089346,-0.9999999993386363,0.26351931828735936,,
mood=Ind,categorical,,,0.1480349368761864,0.1480349368761864,0.1663106387637666,0.5008695652173913,0.35283462834120494
tense=Pres,categorical,,,0.12504047681608388,0.12504047681608388,0.3615506239861324,0.39956521739130435,0.27452474057522047
morph_marked=False,categorical,,,0.11397561896518604,0.11397561896518604,0.4817154215112869,0.711304347826087,0.5973287288609009
aux_be=False,categorical,,,0.11421139454818496,0.11421139454818496,0.41804273580603624,0.9447826086956522,0.8305712141474673
n_clausal_complements,numeric,0.19956521739130434,0.05560351881005987,0.14396169858124447,2.589075321187967,0.048311559476906026,,
xpos=VBD,categorical,,,0.09346621976198939,0.09346621976198939,0.5627446066459737,0.21,0.1165337802380106
