lemma,active,passive
prosecute,0,1
protect,1,3
prove,2,0
provide,11,0
publish,2,1
pull,0,3
push,1,0
put,12,0
qualify,1,0
question,1,0
rain,1,0
raise,1,0
ravage,0,1
re-emerge,1,0
react,1,0
read,6,3
recall,1,0
receive,2,1
recognize,3,0
recollect,0,1
recommend,2,0
record,2,0
reduce,4,3
reemerge,1,0
refuse,3,0
regain,1,0
regard,2,0
register,0,1
rehash,1,0
reissue,1,0
relate,2,0
relay,0,1
release,0,2
remain,7,0
remember,4,0
remove,0,1
repeat,0,1
replace,1,0
reply,2,0
reprint,0,1
repurpose,1,0
require,5,3
reread,1,0
resemble,1,0
respect,0,1
rest,1,0
restrict,0,2
result,2,0
resume,1,0
retell,1,0
retire,1,0
retreat,1,0
return,3,0
reveal,2,0
review,0,1
revive,0,1
ride,1,0
rise,1,0
ritualise,0,1
roam,1,0
rock,1,1
root,0,1
rotate,2,0
rub,1,0
rule,1,1
run,3,0
sail,1,0
say,46,3
scale,0,1
scan,1,0
scavenge,1,0
schedule,1,0
scrape,1,0
scratch,1,0
see,22,1
seek,4,0
seem,2,0
sell,0,1
send,1,1
set,1,1
settle,0,1
shall,2,0
shape,0,1
share,0,1
shift,1,0
shine,1,0
shock,0,1
shotgun,1,0
should,21,0
shout,3,0
show,3,0
shun,1,0
sidetrack,0,1
sign,1,0
sing,1,0
single,0,1
sink,0,2
sit,1,0
skip,1,0
sleep,1,0
smell,3,0
smile,1,0
snorkel,1,0
sound,3,0
speak,5,0
specialize,3,0
spend,11,0
sponsor,0,2
squash,1,0
stand,8,0
stare,2,0
start,6,1
state,2,0
stay,5,0
steal,1,0
stir,1,0
stock,0,1
stop,8,0
strain,0,1
stretch,1,0
struggle,2,0
strut,1,0
study,1,0
stuff,1,0
stunt,0,1
subdivide,1,0
submit,0,1
subpoena,1,0
succeed,1,0
succumb,1,0
suck,1,0
suffer,8,0
suggest,7,1
suit,0,2
summon,1,0
support,2,0
suppose,0,8
suppress,1,0
surge,2,0
