,0
has_aux_pass,0.12980928484262164
verb_voice_morph_enc,0.11020584634697092
has_nsubj,0.07630507481946136
has_nsubj_pass,0.046442081053325285
subtree_depth,0.0434216862255255
subtree_size,0.041403781789788215
frame_signature_enc,0.03609359559723888
child_count,0.03423299722039399
verb_form_enc,0.030366698889009943
object_subtree_size,0.02779777191687596
subject_subtree_size,0.02463971087966096
verb_form_participle,0.024608218400113537
obj_distance,0.022384987952773713
subj_present,0.021691213447932966
verb_polysemy,0.021449470166688897
subject_subtree_depth,0.021076366715614574
object_subtree_depth,0.020335102212060415
object_mention_count_before,0.018321687106532914
is_aux_verb,0.016719663293361123
subj_distance,0.015253066322745526
obj_present,0.014983930145792855
subject_mention_count_before,0.014671673106586113
obj_type_enc,0.014656351536614123
has_aux_be,0.013929796364934237
obj_pos_type_enc,0.013023812560349159
verb_tense_enc,0.01244390743570356
lemma_doc_freq,0.011569752460063037
subj_pos_type_enc,0.01019989437517929
object_lemma_enc,0.009704724985999743
obj_number_enc,0.009046979161610623
verb_lexname_enc,0.008419922669843795
subj_number_enc,0.007391709901647348
lemma_freq,0.006243603806878388
lemma_transitivity,0.00606471663460213
next_upos_enc,0.005066099905141473
subject_is_animate_wn,0.004213113126166303
object_polysemy,0.003984590472745827
has_progressive,0.003862862205867117
subject_seen_before_in_doc,0.003749929773455202
verb_person,0.003584126180372684
subject_lemma_enc,0.0032689616596268604
lemma_enc,0.002850143012162752
subj_is_pronoun,0.0028263588914198504
lemma_past_rate,0.0026939200915022856
subj_pron_type_enc,0.0023728291772407433
subj_person,0.0022092030488105414
lemma_pres_rate,0.0020808292112986628
clause_type_enc,0.001888002844777659
object_lexname_enc,0.0018707709520888241
aux_count,0.001632184239252954
doc_passive_rate,0.0015325639707601374
verb_number_enc,0.0014744008243296294
verb_mood_enc,0.0014622346793209497
agent_present,0.0013796064725838076
prev_upos_enc,0.0013165404972373422
has_perfect,0.0012150282849939591
object_seen_before_in_doc,0.0011340458950166075
has_prep_by,0.0008878519161104588
subject_lexname_enc,0.0008020691714391161
has_aux_have,0.0007790785615591549
ccomp_present,0.0006870816645788945
genre_passive_rate,0.0006073577751232141
obj_pron_type_enc,0.0004942099117956714
dep_depth,0.0004040536920111419
doc_id_enc,0.0003078112135535261
doc_genre_enc,0.00027235874105259526
sentence_index_in_doc,0.00023177858230116578
verb_position,0.00020639713061893785
sentence_length,0.00016170842955139718
obl_present,0.0001510485597701723
lemma_particle_rate,0.0001407583477848305
previous_sentence_voice_enc,0.0001387217929047122
obj_is_pronoun,0.00013142690905654534
xcomp_present,0.00011389245917594809
sentence_index_in_doc_normalized,9.959964765612232e-05
subject_polysemy,8.624801923131433e-05
verb_lemma_mention_count_before,7.87002252811477e-05
doc_token_count,7.546768695363738e-05
is_relative_clause,7.102631469850665e-05
advmod_present,7.042601916860088e-05
is_root,5.3945565500156934e-05
obj_is_proper,5.0571887863524855e-05
sentence_has_question_mark,3.033313305387955e-05
mark_present,2.824071463727233e-05
has_get_passive,2.647338425258059e-05
has_prep_in,2.2862341175250516e-05
verb_lemma_seen_before_in_doc,1.999161294482797e-05
next_sentence_voice_enc,1.922668407467453e-05
has_prep_for,1.8379639681871537e-05
has_ccomp_that,1.8320395450340463e-05
negation,1.6857990573584724e-05
has_expletive_subject,1.655850099511122e-05
object_is_animate_wn,1.1607829058525315e-05
sentence_has_exclamation,1.1243168164365226e-05
particle_present,1.0015375725335174e-05
sentence_has_quotes,9.278931138342081e-06
sentence_has_semicolon,9.086872677810755e-06
has_prep_at,7.889124245451443e-06
cc_present,7.0982175889058195e-06
has_prep_from,6.06384383764615e-06
has_xcomp_to,5.199475537352664e-06
subj_is_proper,5.0009033188583495e-06
conj_present,4.013771683734178e-06
is_modal,3.859068076620776e-06
has_prep_of,2.604952936078764e-06
has_prep_to,2.3512380360982867e-06
obj_person,2.0470009551241515e-06
has_prep_as,1.5905251515606913e-06
has_aux_do,1.4042401694669552e-06
has_prep_with,1.3850794459591813e-06
verb_aspect,0.0
has_prep_on,0.0
nmod_present,0.0
subj_definite_enc,0.0
obj_definite_enc,0.0
